"","(Intercept)","NeighborhoodBlueste","NeighborhoodBrDale","NeighborhoodBrkSide","NeighborhoodClearCr","NeighborhoodCollgCr","NeighborhoodCrawfor","NeighborhoodEdwards","NeighborhoodGilbert","NeighborhoodIDOTRR","NeighborhoodMeadowV","NeighborhoodMitchel","NeighborhoodNAmes","NeighborhoodNoRidge","NeighborhoodNPkVill","NeighborhoodNridgHt","NeighborhoodNWAmes","NeighborhoodOldTown","NeighborhoodSawyer","NeighborhoodSawyerW","NeighborhoodSomerst","NeighborhoodStoneBr","NeighborhoodSWISU","NeighborhoodTimber","NeighborhoodVeenker","OverallQual","TotalBsmtSF","GrLivArea","KitchenQualFa","KitchenQualGd","KitchenQualTA","GarageArea","BsmtFinSF1","BsmtFinType1BLQ","BsmtFinType1GLQ","BsmtFinType1LwQ","BsmtFinType1NoBasement","BsmtFinType1Rec","BsmtFinType1Unf","OverallCond","LotArea","X1stFlrSF"
"1309",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,921.589658950783,1119.11604134724,0,1,0,528,143.027315099676,0,1,0,0,0,0,7,11998.9463431586,1118.99259288921
"388",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1038.58965895078,1122.11604134724,0,0,1,352,630.027315099676,0,0,0,0,0,0,6,7198.94634315856,1121.99259288921
"543",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1647.58965895078,1677.11604134724,0,1,0,583,143.027315099676,0,0,1,0,0,0,5,10138.9463431586,1676.99259288921
"835",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1141.58965895078,1141.11604134724,0,0,1,456,571.027315099676,0,0,0,0,1,0,6,7873.94634315856,1140.99259288921
"1322",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-2.41034104921716,717.116041347238,0,0,1,287,-0.972684900323611,0,0,0,1,0,0,6,6625.94634315856,716.99259288921
"294",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,792.589658950783,2260.11604134724,0,1,0,539,794.027315099676,0,0,0,0,0,0,7,16657.9463431586,1464.99259288921
"1306",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1649.58965895078,1649.11604134724,0,0,0,840,1571.02731509968,0,1,0,0,0,0,5,13171.9463431586,1648.99259288921
"1372",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,989.589658950783,1658.11604134724,0,1,0,377,830.027315099676,1,0,0,0,0,0,6,9598.94634315856,1657.99259288921
"959",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1334.58965895078,1334.11604134724,0,1,0,531,698.027315099676,0,1,0,0,0,0,5,8448.94634315856,1333.99259288921
"913",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,765.589658950783,1012.11604134724,0,0,1,450,488.027315099676,0,0,0,0,1,0,7,6118.94634315856,1011.99259288921
"90",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,987.589658950783,987.116041347238,0,0,1,0,587.027315099676,0,1,0,0,0,0,5,8068.94634315856,986.99259288921
"299",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,699.589658950783,1740.11604134724,0,0,1,539,383.027315099676,0,0,0,0,0,0,6,11698.9463431586,1037.99259288921
"256",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,972.589658950783,2288.11604134724,0,1,0,429,-0.972684900323611,0,0,0,0,0,1,5,8736.94634315856,1001.99259288921
"994",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,747.589658950783,1497.11604134724,0,1,0,564,-0.972684900323611,0,0,0,0,0,1,5,8844.94634315856,746.99259288921
"556",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,990.589658950783,1045.11604134724,0,0,1,280,-0.972684900323611,0,0,0,0,0,1,6,6378.94634315856,1044.99259288921
"1112",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,800.589658950783,1961.11604134724,0,0,1,483,402.027315099676,0,0,0,0,0,0,6,10478.9463431586,1094.99259288921
"719",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1308.58965895078,2415.11604134724,0,1,0,983,1172.02731509968,0,1,0,0,0,0,5,10540.9463431586,1321.99259288921
"1035",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,917.589658950783,951.116041347238,1,0,0,240,-0.972684900323611,0,0,0,0,0,1,7,6303.94634315856,950.99259288921
"1431",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,729.589658950783,1835.11604134724,0,0,1,372,-0.972684900323611,0,0,0,0,0,1,5,21928.9463431586,730.99259288921
"548",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,765.589658950783,765.116041347238,0,0,1,624,618.027315099676,0,0,0,0,0,0,7,7242.94634315856,764.99259288921
"1119",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,530.589658950783,1598.11604134724,0,0,1,300,-0.972684900323611,0,0,0,0,0,1,6,13823.9463431586,1017.99259288921
"1345",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,725.589658950783,1453.11604134724,0,1,0,440,-0.972684900323611,0,0,0,0,0,1,5,11101.9463431586,724.99259288921
"305",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1467.58965895078,3490.11604134724,0,1,0,870,-0.972684900323611,0,0,0,0,0,1,9,18384.9463431586,1671.99259288921
"936",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,597.589658950783,744.116041347238,0,0,1,528,-0.972684900323611,0,0,0,0,0,1,5,5823.94634315856,743.99259288921
"181",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,753.589658950783,1522.11604134724,0,1,0,440,435.027315099676,0,1,0,0,0,0,5,2115.94634315856,765.99259288921
"384",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,781.589658950783,781.116041347238,0,0,1,360,-0.972684900323611,0,0,0,0,0,1,3,8998.94634315856,780.99259288921
"554",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-2.41034104921716,1123.11604134724,0,1,0,520,-0.972684900323611,0,0,0,1,0,0,5,8775.94634315856,1122.99259288921
