DATE,CSIndex_lag2,CSIQuarter,CSIYr,CSIYrQrtr,QtrSold,PercChng
1993-04-01,88.88,Q2,1993,1993Q2,1993Q4,0
1993-07-01,91.4,Q3,1993,1993Q3,1994Q1,0.0283528352835285
1993-10-01,92.09,Q4,1993,1993Q4,1994Q2,0.00754923413566737
1994-01-01,93.09,Q1,1994,1994Q1,1994Q3,0.0108589423390162
1994-04-01,96.62,Q2,1994,1994Q2,1994Q4,0.0379202921903534
1994-07-01,96.34,Q3,1994,1994Q3,1995Q1,-0.00289795073483752
1994-10-01,98.58,Q4,1994,1994Q4,1995Q2,0.0232509860909279
1995-01-01,100,Q1,1995,1995Q1,1995Q3,0.0144045445323595
1995-04-01,99.61,Q2,1995,1995Q2,1995Q4,-0.00390000000000001
1995-07-01,104.01,Q3,1995,1995Q3,1996Q1,0.0441722718602551
1995-10-01,103.75,Q4,1995,1995Q4,1996Q2,-0.00249975963849635
1996-01-01,103.55,Q1,1996,1996Q1,1996Q3,-0.00192771084337352
1996-04-01,106.5,Q2,1996,1996Q2,1996Q4,0.0284886528247224
1996-07-01,105.91,Q3,1996,1996Q3,1997Q1,-0.00553990610328642
1996-10-01,106.03,Q4,1996,1996Q4,1997Q2,0.00113303748465683
1997-01-01,108.72,Q1,1997,1997Q1,1997Q3,0.0253701782514382
1997-04-01,110.29,Q2,1997,1997Q2,1997Q4,0.0144407652685799
1997-07-01,112.12,Q3,1997,1997Q3,1998Q1,0.0165926194577931
1997-10-01,113.57,Q4,1997,1997Q4,1998Q2,0.0129325722440242
1998-01-01,113.73,Q1,1998,1998Q1,1998Q3,0.00140882275248755
1998-04-01,113.88,Q2,1998,1998Q2,1998Q4,0.00131891321551034
1998-07-01,117.4,Q3,1998,1998Q3,1999Q1,0.0309097295398666
1998-10-01,117.91,Q4,1998,1998Q4,1999Q2,0.00434412265758084
1999-01-01,118.78,Q1,1999,1999Q1,1999Q3,0.00737850903231282
1999-04-01,121.08,Q2,1999,1999Q2,1999Q4,0.0193635292136723
1999-07-01,121.67,Q3,1999,1999Q3,2000Q1,0.00487281136438721
1999-10-01,121.17,Q4,1999,1999Q4,2000Q2,-0.00410947645269993
2000-01-01,122.93,Q1,2000,2000Q1,2000Q3,0.0145250474539903
2000-04-01,125.13,Q2,2000,2000Q2,2000Q4,0.0178963637842674
2000-07-01,126.59,Q3,2000,2000Q3,2001Q1,0.0116678654199633
2000-10-01,127.38,Q4,2000,2000Q4,2001Q2,0.00624061932222128
2001-01-01,128.94,Q1,2001,2001Q1,2001Q3,0.012246820536976
2001-04-01,130.84,Q2,2001,2001Q2,2001Q4,0.0147355359081744
2001-07-01,132.32,Q3,2001,2001Q3,2002Q1,0.0113115255273616
2001-10-01,133.02,Q4,2001,2001Q4,2002Q2,0.00529020556227341
2002-01-01,134.14,Q1,2002,2002Q1,2002Q3,0.00841978649827076
2002-04-01,134.1,Q2,2002,2002Q2,2002Q4,-0.000298195914715909
2002-07-01,136.43,Q3,2002,2002Q3,2003Q1,0.0173750932140195
2002-10-01,136.88,Q4,2002,2002Q4,2003Q2,0.0032983947812064
2003-01-01,137.99,Q1,2003,2003Q1,2003Q3,0.00810929281122161
2003-04-01,138.18,Q2,2003,2003Q2,2003Q4,0.00137691137038914
2003-07-01,140.53,Q3,2003,2003Q3,2004Q1,0.0170068027210884
2003-10-01,143.42,Q4,2003,2003Q4,2004Q2,0.020565003913755
2004-01-01,143.72,Q1,2004,2004Q1,2004Q3,0.00209175847162189
2004-04-01,146.28,Q2,2004,2004Q2,2004Q4,0.017812413025327
2004-07-01,148.37,Q3,2004,2004Q3,2005Q1,0.0142876674870112
2004-10-01,147.75,Q4,2004,2004Q4,2005Q2,-0.00417874233335583
2005-01-01,147.91,Q1,2005,2005Q1,2005Q3,0.00108291032148898
2005-04-01,150.77,Q2,2005,2005Q2,2005Q4,0.0193360827530256
2005-07-01,153.78,Q3,2005,2005Q3,2006Q1,0.0199641838562048
2005-10-01,154.18,Q4,2005,2005Q4,2006Q2,0.00260111848094684
2006-01-01,153.92,Q1,2006,2006Q1,2006Q3,-0.00168634064080957
2006-04-01,155.73,Q2,2006,2006Q2,2006Q4,0.0117593555093555
2006-07-01,153.33,Q3,2006,2006Q3,2007Q1,-0.0154112887690232
2006-10-01,154.75,Q4,2006,2006Q4,2007Q2,0.00926107089284541
2007-01-01,154.86,Q1,2007,2007Q1,2007Q3,0.000710823909531591
2007-04-01,157.73,Q2,2007,2007Q2,2007Q4,0.0185328683972619
2007-07-01,157.19,Q3,2007,2007Q3,2008Q1,-0.00342357192671015
2007-10-01,157.89,Q4,2007,2007Q4,2008Q2,0.00445320949169787
2008-01-01,160.02,Q1,2008,2008Q1,2008Q3,0.0134904047121415
2008-04-01,157.77,Q2,2008,2008Q2,2008Q4,-0.0140607424071991
2008-07-01,156.3,Q3,2008,2008Q3,2009Q1,-0.00931736071496482
2008-10-01,156.76,Q4,2008,2008Q4,2009Q2,0.00294305822136903
2009-01-01,159.33,Q1,2009,2009Q1,2009Q3,0.0163944883898955
2009-04-01,157.86,Q2,2009,2009Q2,2009Q4,-0.00922613443795895
2009-07-01,156.42,Q3,2009,2009Q3,2010Q1,-0.0091220068415053
2009-10-01,157.69,Q4,2009,2009Q4,2010Q2,0.00811916634701451
